dteday,cnt,lag1,diff_1,diff_12
2011-04-23,4036,1683.0,2353.0,1900.0
2011-04-24,4191,4036.0,155.0,1469.0
2011-04-25,4073,4191.0,-118.0,-246.0
2011-04-26,4400,4073.0,327.0,-778.0
2011-04-27,3872,4400.0,-528.0,-387.0
2011-04-28,4058,3872.0,186.0,2517.0
2011-04-29,4595,4058.0,537.0,-2412.0
2011-04-30,5312,4595.0,717.0,1032.0
2011-05-01,3351,5312.0,-1961.0,-1736.0
2011-05-02,4401,3351.0,1050.0,310.0
2011-05-03,4451,4401.0,50.0,-195.0
2011-05-04,2633,4451.0,-1818.0,688.0
2011-05-05,4433,2633.0,1800.0,-553.0
2011-05-06,4608,4433.0,175.0,20.0
2011-05-07,4714,4608.0,106.0,224.0
2011-05-08,4333,4714.0,-381.0,-708.0
2011-05-09,4362,4333.0,29.0,557.0
2011-05-10,4803,4362.0,441.0,255.0
2011-05-11,4182,4803.0,-621.0,-1158.0
2011-05-12,4864,4182.0,682.0,-35.0
2011-05-13,4105,4864.0,-759.0,1202.0
2011-05-14,3409,4105.0,-696.0,-1746.0
2011-05-15,4553,3409.0,1144.0,1094.0
2011-05-16,3958,4553.0,-595.0,1223.0
2011-05-17,4123,3958.0,165.0,-1635.0
2011-05-18,3855,4123.0,-268.0,-443.0
2011-05-19,4575,3855.0,720.0,614.0
2011-05-20,4917,4575.0,342.0,723.0
2011-05-21,5805,4917.0,888.0,859.0
2011-05-22,4660,5805.0,-1145.0,-1586.0
2011-05-23,4274,4660.0,-386.0,235.0
2011-05-24,4492,4274.0,218.0,-464.0
2011-05-25,4978,4492.0,486.0,1245.0
2011-05-26,4677,4978.0,-301.0,395.0
2011-05-27,4679,4677.0,2.0,-1142.0
2011-05-28,4758,4679.0,79.0,674.0
2011-05-29,4788,4758.0,30.0,-135.0
2011-05-30,4098,4788.0,-690.0,-422.0
2011-05-31,3982,4098.0,-116.0,-836.0
2011-06-01,3974,3982.0,-8.0,-350.0
2011-06-02,4968,3974.0,994.0,106.0
2011-06-03,5312,4968.0,344.0,1489.0
2011-06-04,5342,5312.0,30.0,416.0
2011-06-05,4906,5342.0,-436.0,-654.0
2011-06-06,4548,4906.0,-358.0,-844.0
2011-06-07,4833,4548.0,285.0,586.0
2011-06-08,4401,4833.0,-432.0,-434.0
2011-06-09,3915,4401.0,-486.0,-565.0
2011-06-10,4586,3915.0,671.0,641.0
2011-06-11,4966,4586.0,380.0,1070.0
2011-06-12,4460,4966.0,-506.0,-390.0
2011-06-13,5020,4460.0,560.0,568.0
2011-06-14,4891,5020.0,-129.0,-1123.0
2011-06-15,5180,4891.0,289.0,-55.0
2011-06-16,3767,5180.0,-1413.0,-1443.0
2011-06-17,4844,3767.0,1077.0,1513.0
2011-06-18,5119,4844.0,275.0,633.0
2011-06-19,4744,5119.0,-375.0,-660.0
2011-06-20,4010,4744.0,-734.0,-302.0
2011-06-21,4835,4010.0,825.0,1311.0
2011-06-22,4507,4835.0,-328.0,-999.0
2011-06-23,4790,4507.0,283.0,-97.0
2011-06-24,4991,4790.0,201.0,707.0
2011-06-25,5202,4991.0,211.0,-349.0
2011-06-26,5305,5202.0,103.0,232.0
2011-06-27,4708,5305.0,-597.0,-886.0
2011-06-28,4648,4708.0,-60.0,1353.0
2011-06-29,5225,4648.0,577.0,-500.0
2011-06-30,5515,5225.0,290.0,15.0
2011-07-01,5362,5515.0,-153.0,222.0
2011-07-02,5119,5362.0,-243.0,491.0
2011-07-03,4649,5119.0,-470.0,-1295.0
2011-07-04,6043,4649.0,1394.0,1722.0
2011-07-05,4665,6043.0,-1378.0,-1661.0
2011-07-06,4629,4665.0,-36.0,-237.0
2011-07-07,4592,4629.0,-37.0,-248.0
2011-07-08,4040,4592.0,-552.0,-655.0
2011-07-09,5336,4040.0,1296.0,1893.0
2011-07-10,4881,5336.0,-455.0,-395.0
2011-07-11,4086,4881.0,-795.0,-1372.0
2011-07-12,4258,4086.0,172.0,-118.0
2011-07-13,4342,4258.0,84.0,237.0
2011-07-14,5084,4342.0,742.0,985.0
2011-07-15,5538,5084.0,454.0,924.0
2011-07-16,5923,5538.0,385.0,-1009.0
2011-07-17,5302,5923.0,-621.0,757.0
2011-07-18,4458,5302.0,-844.0,-808.0
2011-07-19,4541,4458.0,83.0,120.0
2011-07-20,4332,4541.0,-209.0,343.0
2011-07-21,3784,4332.0,-548.0,-1844.0
2011-07-22,3387,3784.0,-397.0,58.0
2011-07-23,3285,3387.0,-102.0,693.0
2011-07-24,3606,3285.0,321.0,149.0
2011-07-25,3840,3606.0,234.0,150.0
2011-07-26,4590,3840.0,750.0,8.0
2011-07-27,4656,4590.0,66.0,-388.0
2011-07-28,4390,4656.0,-266.0,-651.0
2011-07-29,3846,4390.0,-544.0,77.0
2011-07-30,4475,3846.0,629.0,1473.0
2011-07-31,4302,4475.0,-173.0,-256.0
2011-08-01,4266,4302.0,-36.0,173.0
2011-08-02,4845,4266.0,579.0,1127.0
2011-08-03,3574,4845.0,-1271.0,-874.0
2011-08-04,4576,3574.0,1002.0,1104.0
2011-08-05,4866,4576.0,290.0,-31.0
2011-08-06,4294,4866.0,-572.0,-806.0
2011-08-07,3785,4294.0,-509.0,-1259.0
2011-08-08,4326,3785.0,541.0,475.0
2011-08-09,4602,4326.0,276.0,542.0
2011-08-10,4780,4602.0,178.0,722.0
2011-08-11,4792,4780.0,12.0,-617.0
2011-08-12,4905,4792.0,113.0,286.0
2011-08-13,4150,4905.0,-755.0,-719.0
2011-08-14,3820,4150.0,-330.0,-909.0
2011-08-15,4338,3820.0,518.0,1789.0
2011-08-16,4725,4338.0,387.0,-615.0
2011-08-17,4694,4725.0,-31.0,-321.0
2011-08-18,3805,4694.0,-889.0,-317.0
2011-08-19,4153,3805.0,348.0,857.0
2011-08-20,5191,4153.0,1038.0,497.0
2011-08-21,3873,5191.0,-1318.0,-1594.0
2011-08-22,4758,3873.0,885.0,707.0
2011-08-23,5895,4758.0,1137.0,1125.0
2011-08-24,5130,5895.0,-765.0,-878.0
2011-08-25,3542,5130.0,-1588.0,-833.0
2011-08-26,4661,3542.0,1119.0,1449.0
2011-08-27,1115,4661.0,-3546.0,-4064.0
2011-08-28,4334,1115.0,3219.0,2832.0
2011-08-29,4634,4334.0,300.0,331.0
2011-08-30,5204,4634.0,570.0,1459.0
2011-08-31,5058,5204.0,-146.0,-494.0
2011-09-01,5115,5058.0,57.0,-981.0
2011-09-02,4727,5115.0,-388.0,930.0
2011-09-03,4484,4727.0,-243.0,-1128.0
2011-09-04,4940,4484.0,456.0,-681.0
2011-09-05,3351,4940.0,-1589.0,-824.0
2011-09-06,2710,3351.0,-641.0,947.0
2011-09-07,1996,2710.0,-714.0,-1833.0
2011-09-08,1842,1996.0,-154.0,3392.0
2011-09-09,3544,1842.0,1702.0,-1517.0
2011-09-10,5345,3544.0,1801.0,1501.0
2011-09-11,5046,5345.0,-299.0,-869.0
2011-09-12,4713,5046.0,-333.0,-187.0
2011-09-13,4763,4713.0,50.0,-7.0
2011-09-14,4785,4763.0,22.0,410.0
2011-09-15,3659,4785.0,-1126.0,-883.0
2011-09-16,4760,3659.0,1101.0,645.0
2011-09-17,4511,4760.0,-249.0,1340.0
2011-09-18,4274,4511.0,-237.0,404.0
2011-09-19,4539,4274.0,265.0,979.0
2011-09-20,3641,4539.0,-898.0,-744.0
2011-09-21,4352,3641.0,711.0,-991.0
2011-09-22,4795,4352.0,443.0,-1358.0
2011-09-23,2395,4795.0,-2400.0,-2101.0
2011-09-24,5423,2395.0,3028.0,3361.0
2011-09-25,5010,5423.0,-413.0,-463.0
2011-09-26,4630,5010.0,-380.0,-402.0
2011-09-27,4120,4630.0,-510.0,616.0
2011-09-28,3907,4120.0,-213.0,-1314.0
2011-09-29,4839,3907.0,932.0,1181.0
2011-09-30,5202,4839.0,363.0,600.0
2011-10-01,2429,5202.0,-2773.0,-3038.0
2011-10-02,2918,2429.0,489.0,1387.0
2011-10-03,3570,2918.0,652.0,-59.0
2011-10-04,4456,3570.0,886.0,443.0
2011-10-05,4826,4456.0,370.0,2770.0
2011-10-06,4765,4826.0,-61.0,-3089.0
2011-10-07,4985,4765.0,220.0,633.0
2011-10-08,5409,4985.0,424.0,804.0
2011-10-09,5511,5409.0,102.0,612.0
2011-10-10,5117,5511.0,-394.0,-181.0
2011-10-11,4563,5117.0,-554.0,-1486.0
2011-10-12,2416,4563.0,-2147.0,-2510.0
2011-10-13,2913,2416.0,497.0,3270.0
2011-10-14,3644,2913.0,731.0,242.0
2011-10-15,5217,3644.0,1573.0,921.0
2011-10-16,5041,5217.0,-176.0,-1062.0
2011-10-17,4570,5041.0,-471.0,-841.0
2011-10-18,4748,4570.0,178.0,239.0
2011-10-19,2424,4748.0,-2324.0,-2544.0
2011-10-20,4195,2424.0,1771.0,1347.0
2011-10-21,4304,4195.0,109.0,7.0
2011-10-22,4308,4304.0,4.0,398.0
2011-10-23,4381,4308.0,73.0,627.0
2011-10-24,4187,4381.0,-194.0,1953.0
2011-10-25,4687,4187.0,500.0,3.0
2011-10-26,3894,4687.0,-793.0,-1524.0
2011-10-27,2659,3894.0,-1235.0,-2808.0
2011-10-28,3747,2659.0,1088.0,1264.0
2011-10-29,627,3747.0,-3120.0,-2649.0
2011-10-30,3331,627.0,2704.0,2526.0
2011-10-31,3669,3331.0,338.0,2662.0
2011-11-01,4068,3669.0,399.0,-1372.0
2011-11-02,4186,4068.0,118.0,9.0
2011-11-03,3974,4186.0,-212.0,-216.0
2011-11-04,4046,3974.0,72.0,-1.0
2011-11-05,3926,4046.0,-120.0,74.0
2011-11-06,3649,3926.0,-277.0,-777.0
2011-11-07,4035,3649.0,386.0,1179.0
2011-11-08,4205,4035.0,170.0,1405.0
2011-11-09,4109,4205.0,-96.0,-1184.0
2011-11-10,2933,4109.0,-1176.0,1944.0
2011-11-11,3368,2933.0,435.0,-2269.0
2011-11-12,4067,3368.0,699.0,361.0
2011-11-13,3717,4067.0,-350.0,-749.0
2011-11-14,4486,3717.0,769.0,651.0
2011-11-15,4195,4486.0,-291.0,-79.0
2011-11-16,1817,4195.0,-2378.0,-2450.0
2011-11-17,3053,1817.0,1236.0,1356.0
2011-11-18,3392,3053.0,339.0,616.0
2011-11-19,3663,3392.0,271.0,-115.0
2011-11-20,3520,3663.0,-143.0,-313.0
2011-11-21,2765,3520.0,-755.0,-659.0
2011-11-22,1607,2765.0,-1158.0,18.0
2011-11-23,2566,1607.0,959.0,524.0
2011-11-24,1495,2566.0,-1071.0,-1770.0
2011-11-25,2792,1495.0,1297.0,1647.0
2011-11-26,3068,2792.0,276.0,-493.0
2011-11-27,3071,3068.0,3.0,294.0
2011-11-28,3867,3071.0,796.0,3174.0
2011-11-29,2914,3867.0,-953.0,-2189.0
2011-11-30,3613,2914.0,699.0,360.0
2011-12-01,3727,3613.0,114.0,-157.0
2011-12-02,3940,3727.0,213.0,356.0
2011-12-03,3614,3940.0,-326.0,429.0
2011-12-04,3485,3614.0,-129.0,1029.0
2011-12-05,3811,3485.0,326.0,-633.0
2011-12-06,2594,3811.0,-1217.0,-146.0
2011-12-07,705,2594.0,-1889.0,-3186.0
2011-12-08,3322,705.0,2617.0,2341.0
2011-12-09,3620,3322.0,298.0,295.0
2011-12-10,3190,3620.0,-430.0,-1226.0
2011-12-11,2743,3190.0,-447.0,506.0
2011-12-12,3310,2743.0,567.0,-132.0
2011-12-13,3523,3310.0,213.0,99.0
2011-12-14,3740,3523.0,217.0,4.0
2011-12-15,3709,3740.0,-31.0,295.0
2011-12-16,3577,3709.0,-132.0,-3.0
2011-12-17,2739,3577.0,-838.0,-1164.0
2011-12-18,2431,2739.0,-308.0,909.0
2011-12-19,3403,2431.0,972.0,2861.0
2011-12-20,3750,3403.0,347.0,-2270.0
2011-12-21,2660,3750.0,-1090.0,-1388.0
2011-12-22,3068,2660.0,408.0,838.0
2011-12-23,2209,3068.0,-859.0,-412.0
2011-12-24,1011,2209.0,-1198.0,-1765.0
2011-12-25,754,1011.0,-257.0,-470.0
2011-12-26,1317,754.0,563.0,346.0
2011-12-27,1162,1317.0,-155.0,-124.0
2011-12-28,2302,1162.0,1140.0,1272.0
2011-12-29,2423,2302.0,121.0,959.0
2011-12-30,2999,2423.0,576.0,884.0
2011-12-31,2485,2999.0,-514.0,-1486.0
2012-01-01,2294,2485.0,-191.0,-538.0
2012-01-02,1951,2294.0,-343.0,747.0
2012-01-03,2236,1951.0,285.0,-123.0
2012-01-04,2368,2236.0,132.0,991.0
2012-01-05,3272,2368.0,904.0,2102.0
2012-01-06,4098,3272.0,826.0,1083.0
2012-01-07,4521,4098.0,423.0,-140.0
2012-01-08,3425,4521.0,-1096.0,-941.0
2012-01-09,2376,3425.0,-1049.0,-2189.0
2012-01-10,3598,2376.0,1222.0,1101.0
2012-01-11,2177,3598.0,-1421.0,-1997.0
2012-01-12,4097,2177.0,1920.0,2434.0
2012-01-13,3214,4097.0,-883.0,-692.0
2012-01-14,2493,3214.0,-721.0,-378.0
2012-01-15,2311,2493.0,-182.0,-467.0
2012-01-16,2298,2311.0,-13.0,-145.0
2012-01-17,2935,2298.0,637.0,-267.0
2012-01-18,3376,2935.0,441.0,-385.0
2012-01-19,3292,3376.0,-84.0,-507.0
2012-01-20,3163,3292.0,-129.0,967.0
2012-01-21,1301,3163.0,-1862.0,-813.0
2012-01-22,1977,1301.0,676.0,-546.0
2012-01-23,2432,1977.0,455.0,1876.0
2012-01-24,4339,2432.0,1907.0,-13.0
2012-01-25,4270,4339.0,-69.0,814.0
2012-01-26,4075,4270.0,-195.0,526.0
2012-01-27,3456,4075.0,-619.0,-437.0
2012-01-28,4023,3456.0,567.0,580.0
2012-01-29,3243,4023.0,-780.0,-1417.0
2012-01-30,3624,3243.0,381.0,-60.0
2012-01-31,4509,3624.0,885.0,969.0
2012-02-01,4579,4509.0,70.0,199.0
2012-02-02,3761,4579.0,-818.0,1044.0
2012-02-03,4151,3761.0,390.0,-286.0
2012-02-04,2832,4151.0,-1319.0,-1774.0
2012-02-05,2947,2832.0,115.0,-1792.0
2012-02-06,3784,2947.0,837.0,906.0
2012-02-07,4375,3784.0,591.0,786.0
2012-02-08,2802,4375.0,-1573.0,-954.0
2012-02-09,3830,2802.0,1028.0,461.0
2012-02-10,3831,3830.0,1.0,781.0
2012-02-11,2169,3831.0,-1662.0,-2043.0
2012-02-12,1529,2169.0,-640.0,-1525.0
2012-02-13,3422,1529.0,1893.0,1823.0
2012-02-14,3922,3422.0,500.0,1318.0
2012-02-15,4169,3922.0,247.0,-143.0
2012-02-16,3005,4169.0,-1164.0,155.0
2012-02-17,4154,3005.0,1149.0,1034.0
2012-02-18,4318,4154.0,164.0,-673.0
2012-02-19,2689,4318.0,-1629.0,-2220.0
2012-02-20,3129,2689.0,440.0,2013.0
2012-02-21,3777,3129.0,648.0,-380.0
2012-02-22,4773,3777.0,996.0,995.0
2012-02-23,5062,4773.0,289.0,1951.0
2012-02-24,3487,5062.0,-1575.0,-935.0
2012-02-25,2732,3487.0,-755.0,-2648.0
2012-02-26,3389,2732.0,657.0,157.0
2012-02-27,4322,3389.0,933.0,686.0
2012-02-28,4363,4322.0,41.0,1205.0
2012-02-29,1834,4363.0,-2529.0,-3678.0
2012-03-01,4990,1834.0,3156.0,2992.0
2012-03-02,3194,4990.0,-1796.0,-167.0
2012-03-03,4066,3194.0,872.0,432.0
2012-03-04,3423,4066.0,-643.0,-1291.0
2012-03-05,3333,3423.0,-90.0,-1086.0
2012-03-06,3956,3333.0,623.0,334.0
2012-03-07,4916,3956.0,960.0,2535.0
2012-03-08,5382,4916.0,466.0,1221.0
2012-03-09,4569,5382.0,-813.0,-1470.0
2012-03-10,4118,4569.0,-451.0,-1384.0
2012-03-11,4911,4118.0,793.0,752.0
2012-03-12,5298,4911.0,387.0,2916.0
2012-03-13,5847,5298.0,549.0,-2607.0
2012-03-14,6312,5847.0,465.0,2261.0
2012-03-15,6192,6312.0,-120.0,-992.0
2012-03-16,4378,6192.0,-1814.0,-1171.0
2012-03-17,7836,4378.0,3458.0,3548.0
2012-03-18,5892,7836.0,-1944.0,-2567.0
2012-03-19,6153,5892.0,261.0,-699.0
2012-03-20,6093,6153.0,-60.0,-526.0
2012-03-21,6230,6093.0,137.0,950.0
2012-03-22,6871,6230.0,641.0,1092.0
2012-03-23,8362,6871.0,1491.0,698.0
2012-03-24,3372,8362.0,-4990.0,-5377.0
2012-03-25,4996,3372.0,1624.0,1075.0
2012-03-26,5558,4996.0,562.0,97.0
2012-03-27,5102,5558.0,-456.0,-336.0
2012-03-28,5698,5102.0,596.0,2410.0
2012-03-29,6133,5698.0,435.0,-3023.0
2012-03-30,5459,6133.0,-674.0,1270.0
2012-03-31,6235,5459.0,776.0,515.0
2012-04-01,6041,6235.0,-194.0,-134.0
2012-04-02,5936,6041.0,-105.0,-242.0
2012-04-03,6772,5936.0,836.0,195.0
2012-04-04,6436,6772.0,-336.0,-1827.0
2012-04-05,6457,6436.0,21.0,5011.0
2012-04-06,6460,6457.0,3.0,-1621.0
2012-04-07,6857,6460.0,397.0,-165.0
2012-04-08,5169,6857.0,-1688.0,-1232.0
2012-04-09,5585,5169.0,416.0,-180.0
2012-04-10,5918,5585.0,333.0,-102.0
2012-04-11,4862,5918.0,-1056.0,-382.0
2012-04-12,5409,4862.0,547.0,-229.0
2012-04-13,6398,5409.0,989.0,1183.0
2012-04-14,7460,6398.0,1062.0,1167.0
2012-04-15,7132,7460.0,-328.0,-1164.0
2012-04-16,6370,7132.0,-762.0,-426.0
2012-04-17,6691,6370.0,321.0,300.0
2012-04-18,4367,6691.0,-2324.0,-2327.0
2012-04-19,6565,4367.0,2198.0,1801.0
2012-04-20,7290,6565.0,725.0,2413.0
2012-04-21,6624,7290.0,-666.0,-1082.0
2012-04-22,1027,6624.0,-5597.0,-5930.0
2012-04-23,3214,1027.0,2187.0,3243.0
2012-04-24,5633,3214.0,2419.0,1872.0
2012-04-25,6196,5633.0,563.0,-426.0
2012-04-26,5026,6196.0,-1170.0,-2232.0
2012-04-27,6233,5026.0,1207.0,1535.0
2012-04-28,4220,6233.0,-2013.0,-1251.0
2012-04-29,6304,4220.0,2084.0,1763.0
2012-04-30,5572,6304.0,-732.0,1592.0
2012-05-01,5740,5572.0,168.0,-2030.0
2012-05-02,6169,5740.0,429.0,-296.0
2012-05-03,6421,6169.0,252.0,918.0
2012-05-04,6296,6421.0,-125.0,5472.0
2012-05-05,6883,6296.0,587.0,-1600.0
2012-05-06,6359,6883.0,-524.0,-2943.0
2012-05-07,6273,6359.0,-86.0,-649.0
2012-05-08,5728,6273.0,-545.0,625.0
2012-05-09,4717,5728.0,-1011.0,-2218.0
2012-05-10,6572,4717.0,1855.0,3868.0
2012-05-11,7030,6572.0,458.0,-1626.0
2012-05-12,7429,7030.0,399.0,1131.0
2012-05-13,6118,7429.0,-1311.0,-1479.0
2012-05-14,2843,6118.0,-3275.0,-3704.0
2012-05-15,5115,2843.0,2272.0,2020.0
2012-05-16,7424,5115.0,2309.0,2434.0
2012-05-17,7384,7424.0,-40.0,-627.0
2012-05-18,7639,7384.0,255.0,779.0
2012-05-19,8294,7639.0,655.0,741.0
2012-05-20,7129,8294.0,-1165.0,-620.0
2012-05-21,4359,7129.0,-2770.0,-1759.0
2012-05-22,6073,4359.0,1714.0,-141.0
2012-05-23,5260,6073.0,-813.0,-1271.0
2012-05-24,6770,5260.0,1510.0,1111.0
2012-05-25,6734,6770.0,-36.0,1275.0
2012-05-26,6536,6734.0,-198.0,3077.0
2012-05-27,6591,6536.0,55.0,-2217.0
2012-05-28,6043,6591.0,-548.0,-2857.0
2012-05-29,5743,6043.0,-300.0,-260.0
2012-05-30,6855,5743.0,1112.0,857.0
2012-05-31,7338,6855.0,483.0,-172.0
2012-06-01,4127,7338.0,-3211.0,-2046.0
2012-06-02,8120,4127.0,3993.0,6763.0
2012-06-03,7641,8120.0,-479.0,-2193.0
2012-06-04,6998,7641.0,-643.0,170.0
2012-06-05,7001,6998.0,3.0,-1507.0
2012-06-06,7055,7001.0,54.0,90.0
2012-06-07,7494,7055.0,439.0,637.0
2012-06-08,7736,7494.0,242.0,187.0
2012-06-09,7498,7736.0,-238.0,310.0
2012-06-10,6598,7498.0,-900.0,-600.0
2012-06-11,6664,6598.0,66.0,-1046.0
2012-06-12,4972,6664.0,-1692.0,-2175.0
2012-06-13,7421,4972.0,2449.0,5660.0
2012-06-14,7363,7421.0,-58.0,-4051.0
2012-06-15,7665,7363.0,302.0,781.0
2012-06-16,7702,7665.0,37.0,680.0
2012-06-17,6978,7702.0,-724.0,-727.0
2012-06-18,5099,6978.0,-1879.0,-1933.0
2012-06-19,6825,5099.0,1726.0,1287.0
2012-06-20,6211,6825.0,-614.0,-856.0
2012-06-21,5905,6211.0,-306.0,-68.0
2012-06-22,5823,5905.0,-82.0,818.0
2012-06-23,7458,5823.0,1635.0,1569.0
2012-06-24,6891,7458.0,-567.0,1125.0
2012-06-25,6779,6891.0,-112.0,-2561.0
2012-06-26,7442,6779.0,663.0,721.0
2012-06-27,7335,7442.0,-107.0,-409.0
2012-06-28,6879,7335.0,-456.0,-493.0
2012-06-29,5463,6879.0,-1416.0,-692.0
2012-06-30,5687,5463.0,224.0,2103.0
2012-07-01,5531,5687.0,-156.0,-1882.0
2012-07-02,6227,5531.0,696.0,1310.0
2012-07-03,6660,6227.0,433.0,739.0
2012-07-04,7403,6660.0,743.0,825.0
2012-07-05,6241,7403.0,-1162.0,-2797.0
2012-07-06,6207,6241.0,-34.0,533.0
2012-07-07,4840,6207.0,-1367.0,-1255.0
2012-07-08,4672,4840.0,-168.0,-831.0
2012-07-09,6569,4672.0,1897.0,2004.0
2012-07-10,6290,6569.0,-279.0,177.0
2012-07-11,7264,6290.0,974.0,2390.0
2012-07-12,7446,7264.0,182.0,-42.0
2012-07-13,7499,7446.0,53.0,209.0
2012-07-14,6969,7499.0,-530.0,-1226.0
2012-07-15,6031,6969.0,-938.0,-1371.0
2012-07-16,6830,6031.0,799.0,56.0
2012-07-17,6786,6830.0,-44.0,1118.0
2012-07-18,5713,6786.0,-1073.0,-1039.0
2012-07-19,6591,5713.0,878.0,2245.0
2012-07-20,5870,6591.0,-721.0,-553.0
2012-07-21,4459,5870.0,-1411.0,-3308.0
2012-07-22,7410,4459.0,2951.0,3230.0
2012-07-23,6966,7410.0,-444.0,-1418.0
2012-07-24,7592,6966.0,626.0,444.0
